SEASON,PLAYER_NAME,TEAM_ID,POS_EST
2013-14,Dennis Schroder,1610612737.0,1.36
2013-14,Luis Scola,1610612754.0,4.03
2013-14,Mike Scott,1610612737.0,3.96
2013-14,Thabo Sefolosha,1610612760.0,2.18
2013-14,Kevin Seraphin,1610612764.0,4.86
2013-14,Ramon Sessions,,1.48
2013-14,Ramon Sessions,1610612766.0,1.41
2013-14,Ramon Sessions,1610612749.0,1.58
2013-14,Mustafa Shakur,1610612760.0,1.0
2013-14,Tornike Shengelia,,2.98
2013-14,Tornike Shengelia,1610612751.0,2.98
2013-14,Tornike Shengelia,1610612741.0,3.23
2013-14,Iman Shumpert,1610612752.0,2.35
2013-14,Alexey Shved,1610612750.0,1.94
2013-14,Henry Sims,,4.92
2013-14,Henry Sims,1610612739.0,4.89
2013-14,Henry Sims,1610612755.0,4.92
2013-14,Kyle Singler,1610612765.0,2.85
2013-14,Chris Singleton,1610612764.0,3.51
2013-14,Peyton Siva,1610612765.0,1.08
2013-14,Donald Sloan,1610612754.0,1.06
2013-14,Chris Smith,1610612752.0,1.0
2013-14,Greg Smith,1610612745.0,4.85
2013-14,Ish Smith,1610612756.0,1.0
2013-14,J.R. Smith,1610612752.0,2.84
2013-14,Jason Smith,1610612740.0,4.92
2013-14,Josh Smith,1610612765.0,3.4
2013-14,Tony Snell,1610612741.0,2.09
2013-14,James Southerland,,2.79
2013-14,James Southerland,1610612766.0,3.0
2013-14,James Southerland,1610612740.0,2.77
2013-14,Marreese Speights,1610612744.0,4.86
2013-14,Tiago Splitter,1610612759.0,4.47
2013-14,D.J. Stephens,1610612749.0,2.34
2013-14,Lance Stephenson,1610612754.0,2.03
2013-14,Greg Stiemsma,1610612740.0,4.93
2013-14,Julyan Stone,1610612761.0,1.41
2013-14,Amar'e Stoudemire,1610612752.0,4.42
2013-14,Rodney Stuckey,1610612765.0,2.24
2013-14,Jared Sullinger,1610612738.0,4.7
2013-14,Jeff Taylor,1610612766.0,2.98
2013-14,Tyshawn Taylor,1610612751.0,1.15
2013-14,Jeff Teague,1610612737.0,1.27
2013-14,Marquis Teague,,1.48
2013-14,Marquis Teague,1610612741.0,1.32
2013-14,Marquis Teague,1610612751.0,1.63
2013-14,Mirza Teletovic,1610612751.0,3.66
2013-14,Garrett Temple,1610612764.0,1.71
2013-14,Jason Terry,1610612751.0,1.0
2013-14,Hasheem Thabeet,1610612760.0,5.0
2013-14,Adonis Thomas,,2.92
2013-14,Adonis Thomas,1610612753.0,2.88
2013-14,Adonis Thomas,1610612755.0,3.0
2013-14,Isaiah Thomas,1610612758.0,1.0
2013-14,Lance Thomas,1610612740.0,4.0
2013-14,Malcolm Thomas,,4.06
2013-14,Malcolm Thomas,1610612759.0,4.0
2013-14,Malcolm Thomas,1610612762.0,4.08
2013-14,Hollis Thompson,1610612755.0,3.06
2013-14,Jason Thompson,1610612758.0,4.33
2013-14,Klay Thompson,1610612744.0,2.02
2013-14,Tristan Thompson,1610612739.0,4.06
2013-14,Marcus Thornton,,2.09
2013-14,Marcus Thornton,1610612758.0,2.13
2013-14,Marcus Thornton,1610612751.0,2.08
2013-14,Jamaal Tinsley,1610612762.0,1.0
2013-14,Anthony Tolliver,1610612766.0,3.28
2013-14,P.J. Tucker,1610612756.0,3.06
2013-14,Ronny Turiaf,1610612750.0,4.98
2013-14,Hedo Turkoglu,1610612746.0,3.98
2013-14,Evan Turner,,2.67
2013-14,Evan Turner,1610612755.0,2.78
2013-14,Evan Turner,1610612754.0,2.46
2013-14,Jeremy Tyler,1610612752.0,4.57
2013-14,Ekpe Udoh,1610612749.0,4.88
2013-14,Beno Udrih,,1.08
2013-14,Beno Udrih,1610612752.0,1.1
2013-14,Beno Udrih,1610612763.0,1.04
2013-14,Jonas Valanciunas,1610612761.0,5.0
2013-14,Anderson Varejao,1610612739.0,4.79
2013-14,Jarvis Varnado,,4.62
2013-14,Jarvis Varnado,1610612741.0,3.0
2013-14,Jarvis Varnado,1610612755.0,4.63
2013-14,Greivis Vasquez,,1.35
2013-14,Greivis Vasquez,1610612758.0,1.2
2013-14,Greivis Vasquez,1610612761.0,1.38
2013-14,Jan Vesely,,4.47
2013-14,Jan Vesely,1610612764.0,4.16
